Supplier IDs,ID,Product Code,Product Name,Description,Standard Cost,List Price,Reorder Level,Target Level,Quantity Per Unit,Discontinued,Minimum Reorder Quantity,Category,Attachments,Profit Margin
Supplier D,1,NWTB-1,Northwind Traders Chai,,13.5,18.0,10,40,10 boxes x 20 bags,False,10.0,Beverages,0,4.5
Supplier J,3,NWTCO-3,Northwind Traders Syrup,,7.5,10.0,25,100,12 - 550 ml bottles,False,25.0,Condiments,0,2.5
Supplier J,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5,22.0,10,40,48 - 6 oz jars,False,10.0,Condiments,0,5.5
Supplier J,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.35,10,40,36 boxes,False,10.0,Oil,0,5.337500000000002
Supplier B; Supplier F,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.75,25.0,25,100,12 - 8 oz jars,False,25.0,"Jams, Preserves",0,6.25
Supplier B,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5,30.0,10,40,12 - 1 lb pkgs.,False,10.0,Dried Fruit & Nuts,0,7.5
Supplier H,8,NWTS-8,Northwind Traders Curry Sauce,,30.0,40.0,10,40,12 - 12 oz jars,False,10.0,Sauces,0,10.0
Supplier B; Supplier F,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.25,10,40,40 - 100 g pkgs.,False,10.0,Dried Fruit & Nuts,0,5.8125
Supplier F,17,NWTCFV-17,Northwind Traders Fruit Cocktail,,29.25,39.0,10,40,15.25 OZ,False,10.0,Canned Fruit & Vegetables,0,9.75
Supplier A,19,NWTBGM-19,Northwind Traders Chocolate Biscuits Mix,,6.9,9.2,5,20,10 boxes x 12 pieces,False,5.0,Baked Goods & Mixes,0,2.299999999999999
Supplier B; Supplier F,20,NWTJP-6,Northwind Traders Marmalade,,60.75,81.0,10,40,30 gift boxes,False,10.0,"Jams, Preserves",0,20.25
Supplier A,21,NWTBGM-21,Northwind Traders Scones,,7.5,10.0,5,20,24 pkgs. x 4 pieces,False,5.0,Baked Goods & Mixes,0,2.5
Supplier D,34,NWTB-34,Northwind Traders Beer,,10.5,14.0,15,60,24 - 12 oz bottles,False,15.0,Beverages,0,3.5
Supplier G,40,NWTCM-40,Northwind Traders Crab Meat,,13.8,18.4,30,120,24 - 4 oz tins,False,30.0,Canned Meat,0,4.599999999999998
Supplier F,41,NWTSO-41,Northwind Traders Clam Chowder,,7.2375,9.65,10,40,12 - 12 oz cans,False,10.0,Soups,0,2.4125000000000005
Supplier C; Supplier D,43,NWTB-43,Northwind Traders Coffee,,34.5,46.0,25,100,16 - 500 g tins,False,25.0,Beverages,0,11.5
Supplier J,48,NWTCA-48,Northwind Traders Chocolate,,9.5625,12.75,25,100,10 pkgs,False,25.0,Candy,0,3.1875
Supplier B,51,NWTDFN-51,Northwind Traders Dried Apples,,39.75,53.0,10,40,50 - 300 g pkgs.,False,10.0,Dried Fruit & Nuts,0,13.25
Supplier A,52,NWTG-52,Northwind Traders Long Grain Rice,,5.25,7.0,25,100,16 - 2 kg boxes,False,25.0,Grains,0,1.75
Supplier A,56,NWTP-56,Northwind Traders Gnocchi,,28.5,38.0,30,120,24 - 250 g pkgs.,False,30.0,Pasta,0,9.5
Supplier A,57,NWTP-57,Northwind Traders Ravioli,,14.625,19.5,20,80,24 - 250 g pkgs.,False,20.0,Pasta,0,4.875
Supplier H,65,NWTS-65,Northwind Traders Hot Pepper Sauce,,15.7875,21.05,10,40,32 - 8 oz bottles,False,10.0,Sauces,0,5.262500000000001
Supplier H,66,NWTS-66,Northwind Traders Tomato Sauce,,12.75,17.0,20,80,24 - 8 oz jars,False,20.0,Sauces,0,4.25
Supplier E,72,NWTD-72,Northwind Traders Mozzarella,,26.1,34.8,10,40,24 - 200 g pkgs.,False,10.0,Dairy Products,0,8.699999999999996
Supplier B; Supplier F,74,NWTDFN-74,Northwind Traders Almonds,,7.5,10.0,5,20,5 kg pkg.,False,5.0,Dried Fruit & Nuts,0,2.5
Supplier J,77,NWTCO-77,Northwind Traders Mustard,,9.75,13.0,15,60,12 boxes,False,15.0,Condiments,0,3.25
Supplier B,80,NWTDFN-80,Northwind Traders Dried Plums,,3.0,3.5,50,75,1 lb bag,False,25.0,Dried Fruit & Nuts,0,0.5
Supplier C,81,NWTB-81,Northwind Traders Green Tea,,2.0,2.99,100,125,20 bags per box,False,25.0,Beverages,0,0.9900000000000002
Supplier A,82,NWTC-82,Northwind Traders Granola,,2.0,4.0,20,100,,False,,Cereal,0,2.0
Supplier I,83,NWTCS-83,Northwind Traders Potato Chips,,0.5,1.8,30,200,,False,,"Chips, Snacks",0,1.3
Supplier A,85,NWTBGM-85,Northwind Traders Brownie Mix,,9.0,12.49,10,20,3 boxes,False,5.0,Baked Goods & Mixes,0,3.49
Supplier A,86,NWTBGM-86,Northwind Traders Cake Mix,,10.5,15.99,10,20,4 boxes,False,5.0,Baked Goods & Mixes,0,5.49
Supplier G,87,NWTB-87,Northwind Traders Tea,,2.0,4.0,20,50,100 count per box,False,,Beverages,0,2.0
Supplier F,88,NWTCFV-88,Northwind Traders Pears,,1.0,1.3,10,40,15.25 OZ,False,,Canned Fruit & Vegetables,0,0.30000000000000004
Supplier F,89,NWTCFV-89,Northwind Traders Peaches,,1.0,1.5,10,40,15.25 OZ,False,,Canned Fruit & Vegetables,0,0.5
Supplier F,90,NWTCFV-90,Northwind Traders Pineapple,,1.0,1.8,10,40,15.25 OZ,False,,Canned Fruit & Vegetables,0,0.8
Supplier F,91,NWTCFV-91,Northwind Traders Cherry Pie Filling,,1.0,2.0,10,40,15.25 OZ,False,,Canned Fruit & Vegetables,0,1.0
Supplier F,92,NWTCFV-92,Northwind Traders Green Beans,,1.0,1.2,10,40,14.5 OZ,False,,Canned Fruit & Vegetables,0,0.19999999999999996
Supplier F,93,NWTCFV-93,Northwind Traders Corn,,1.0,1.2,10,40,14.5 OZ,False,,Canned Fruit & Vegetables,0,0.19999999999999996
Supplier F,94,NWTCFV-94,Northwind Traders Peas,,1.0,1.5,10,40,14.5 OZ,False,,Canned Fruit & Vegetables,0,0.5
Supplier G,95,NWTCM-95,Northwind Traders Tuna Fish,,0.5,2.0,30,50,5 oz,False,,Canned Meat,0,1.5
Supplier G,96,NWTCM-96,Northwind Traders Smoked Salmon,,2.0,4.0,30,50,5 oz,False,,Canned Meat,0,2.0
Supplier A,97,NWTC-82,Northwind Traders Hot Cereal,,3.0,5.0,50,200,,False,,Cereal,0,2.0
Supplier F,98,NWTSO-98,Northwind Traders Vegetable Soup,,1.0,1.89,100,200,,False,,Soups,0,0.8899999999999999
Supplier F,99,NWTSO-99,Northwind Traders Chicken Soup,,1.0,1.95,100,200,,False,,Soups,0,0.95
